zip,count,lat,lon,county,countyfips,state
14853,5,42.4467049,-76.48305789999999,Tompkins,36109,New York
44286,2,41.2274088,-81.63638689999999,Summit,39153,Ohio
33328,1,26.0725672,-80.2711588,Broward,12011,Florida
14850,1,42.435511,-76.5257007,Tompkins,36109,New York
55344,2,44.865243,-93.4094629,Hennepin,27053,Minnesota
74063,2,36.1464769,-96.19513200000002,Tulsa,40143,Oklahoma
48118,1,42.2980829,-84.0378894,Washtenaw,26161,Michigan
65802,1,37.1953893,-93.3892894,Greene,29077,Missouri
21401,5,38.9851115,-76.5603828,Anne Arundel,24003,Maryland
21403,1,38.9359831,-76.4910093,Anne Arundel,24003,Maryland
78258,3,29.6451457,-98.47327179999999,Bexar,48029,Texas
73120,2,35.578861,-97.5788975,Oklahoma,40109,Oklahoma
22180,2,38.8950354,-77.2577571,Fairfax,51059,Virginia
54914,1,44.26558,-88.4306955,Outagamie,55087,Wisconsin
19403,1,40.1403357,-75.3995089,Montgomery,42091,Pennsylvania
33030,2,25.4802746,-80.52717559999999,Miami-Dade,12086,Florida
48895,2,42.702277,-84.2910759,Ingham,26065,Michigan
33558,1,28.1762931,-82.50775929999999,Hillsborough,12057,Florida
32653,1,29.7429556,-82.37773349999999,Alachua,12001,Florida
33928,1,26.4273206,-81.7239979,Lee,12071,Florida
33556,1,28.1222486,-82.5834947,Hillsborough,12057,Florida
27409,2,36.0896801,-79.95284509999999,Guilford,37081,North Carolina
97015,3,45.4120158,-122.54578,Clackamas,41005,Oregon
94804,1,37.9158152,-122.3390936,Contra Costa,06013,California
29451,1,32.8203378,-79.7455956,Charleston,45019,South Carolina
33634,2,28.01574,-82.5510469,Hillsborough,12057,Florida
30677,1,33.7764415,-83.4003037,Oconee,13219,Georgia
98502,1,47.0670291,-123.0511606,Thurston,53067,Washington
76110,1,32.7011609,-97.3354531,Tarrant,48439,Texas
60506,2,41.76919840000001,-88.38219889999999,Kane,17089,Illinois
92117,1,32.8250767,-117.2029363,San Diego,06073,California
28403,2,34.2253022,-77.8710285,New Hanover,37129,North Carolina
39564,1,30.4069394,-88.7686382,Jackson,28059,Mississippi
97339,1,44.5619717,-123.2608574,Benton,41003,Oregon
